col1_1,Unnamed: 0_1,NUMBER_1,ID_PARENT_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,ISOAREA_IMAGE_1,ISOAREAF_IMAGE_1,XPEAK_IMAGE_1,YPEAK_IMAGE_1,X_IMAGE_1,Y_IMAGE_1,X_IMAGE_DBL_1,Y_IMAGE_DBL_1,X_WORLD_1,Y_WORLD_1,A_IMAGE_1,B_IMAGE_1,THETA_IMAGE_1,ERRA_IMAGE_1,ERRB_IMAGE_1,ERRTHETA_IMAGE_1,XWIN_IMAGE_1,YWIN_IMAGE_1,XWIN_WORLD_1,YWIN_WORLD_1,X2WIN_IMAGE_1,Y2WIN_IMAGE_1,X2WIN_WORLD_1,Y2WIN_WORLD_1,AWIN_IMAGE_1,BWIN_IMAGE_1,THETAWIN_IMAGE_1,AWIN_WORLD_1,BWIN_WORLD_1,THETAWIN_WORLD_1,MU_THRESHOLD_1,FLAGS_1,FWHM_IMAGE_1,ELONGATION_1,ELLIPTICITY_1,CLASS_STAR_1,SUBDIV_NUMBER_1,col1_2,Unnamed: 0_2,NUMBER_2,ID_PARENT_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,ISOAREA_IMAGE_2,ISOAREAF_IMAGE_2,XPEAK_IMAGE_2,YPEAK_IMAGE_2,X_IMAGE_2,Y_IMAGE_2,X_IMAGE_DBL_2,Y_IMAGE_DBL_2,X_WORLD_2,Y_WORLD_2,A_IMAGE_2,B_IMAGE_2,THETA_IMAGE_2,ERRA_IMAGE_2,ERRB_IMAGE_2,ERRTHETA_IMAGE_2,XWIN_IMAGE_2,YWIN_IMAGE_2,XWIN_WORLD_2,YWIN_WORLD_2,X2WIN_IMAGE_2,Y2WIN_IMAGE_2,X2WIN_WORLD_2,Y2WIN_WORLD_2,AWIN_IMAGE_2,BWIN_IMAGE_2,THETAWIN_IMAGE_2,AWIN_WORLD_2,BWIN_WORLD_2,THETAWIN_WORLD_2,MU_THRESHOLD_2,FLAGS_2,FWHM_IMAGE_2,ELONGATION_2,ELLIPTICITY_2,CLASS_STAR_2,SUBDIV_NUMBER_2,GroupID,GroupSize,Separation
0,0,0_1,0_528,263935.8,278.7827,12.6587,0.0011,1.800145,57352.0,57352.0,460.0,358.0,460.2743,358.1253,460.2743,358.1253,192.7252379774908,27.84185523368406,164.061,86.691,14.92,0.2072,0.10818,14.91,460.2743,358.1253,192.7252379774908,27.84185523368406,5446.3392538,4794.36179,5446.3392538,4794.36179,77.044,65.612,33.22,77.0439,65.61203,33.22,25.6706,19.0,3.29,1.892,0.472,0.117,0.0,16,16,0_17,0_24,83588.11,279.7118,13.907,0.0036,406.1062,735.0,798.0,460.0,358.0,460.3873,358.5792,460.3873,358.5792,192.7252059470572,27.841726781749134,5.347,5.16,86.75,0.02569,0.02451,-78.34,460.3873,358.5792,192.7252059470572,27.841726781749134,6.3773619349,6.4740907397,6.3773619349,6.4740907397,2.563,2.506,54.82,2.563117,2.506369,54.82,22.945,0.0,5.33,1.036,0.035,0.029,0.0,,,0.467754433437065
1,1,0_2,0_528,10894.74,71.78079,16.1194,0.0072,3.411036,6080.0,6080.0,99.0,202.0,99.4698,202.198,99.4698,202.198,192.8387448931893,27.8883500308231,31.17,24.006,75.26,0.14333,0.10993,75.66,99.4698,202.198,192.8387448931893,27.8883500308231,1.0194095202,0.98704486325,1.0194095202,0.98704486325,1.031,0.971,37.17,1.031098,0.971232,37.17,28.231,19.0,2.38,1.298,0.23,0.03,0.0,27,27,0_28,0_12,2550.98,55.5203,17.6956,0.0236,403.8758,29.0,33.0,100.0,202.0,99.5533,202.4473,99.5533,202.4473,192.83872039860088,27.888279335114547,1.399,1.26,46.23,0.03688,0.03423,46.23,99.5533,202.4473,192.83872039860088,27.888279335114547,0.86456683473,0.85237596614,0.86456683473,0.85237596614,0.96,0.892,42.21,0.9597858,0.8920504,42.21,22.8859,0.0,3.13,1.11,0.099,0.959,0.0,,,0.26291203852239314
2,2,0_3,0_528,19528.19,67.47495,15.4858,0.0038,3.322599,2564.0,2564.0,240.0,166.0,240.157,166.4708,240.157,166.4708,192.7936567057641,27.89736733072925,11.226,9.666,-62.44,0.04859,0.04174,-64.55,240.157,166.4708,192.7936567057641,27.89736733072925,0.43474104626,0.45471636099,0.43474104626,0.45471636099,0.691,0.642,53.87,0.6910249,0.6418271,53.87,27.7374,3.0,1.81,1.161,0.139,0.904,0.0,29,29,0_30,0_10,14168.87,87.74126,15.8341,0.0067,403.368,63.0,66.0,240.0,166.0,240.2823,166.8058,240.2823,166.8058,192.7936196536219,27.89727223138095,1.703,1.479,59.8,0.01414,0.01234,72.86,240.2823,166.8058,192.7936196536219,27.89727223138095,0.92247497709,0.95075267255,0.92247497709,0.95075267255,1.01,0.924,49.89,1.009908,0.9237492,49.89,22.8482,0.0,3.05,1.151,0.132,0.983,0.0,,,0.35766617117082894
3,3,0_4,0_528,26116.93,94.03295,15.1701,0.0039,1.790445,7823.0,7823.0,169.0,83.0,168.8768,83.3204,168.8768,83.3204,192.81564973726697,27.92126562390952,49.544,30.753,81.14,0.20047,0.12483,80.86,168.8768,83.3204,192.81564973726697,27.92126562390952,3944.3311663,3191.4649323,3944.3311663,3191.4649323,62.889,56.398,-6.77,62.88948,56.39777,-6.77,25.6169,19.0,6.79,1.611,0.379,0.044,0.0,34,34,0_35,0_5,3135.385,72.51369,17.4717,0.0251,403.0739,56.0,58.0,169.0,83.0,168.8905,83.5416,168.8905,83.5416,192.8156472357949,27.921203338672107,2.789,1.29,60.81,0.07669,0.03518,61.54,168.8905,83.5416,192.8156472357949,27.921203338672107,2.3432786789,3.2908809632,2.3432786789,3.2908809632,1.956,1.345,59.03,1.955529,1.345387,59.03,22.8405,0.0,8.57,2.162,0.537,0.007,0.0,,,0.22162384799474596
50,50,0_51,0_47,20170.38,57.97987,15.4506,0.0031,1.677156,67.0,67.0,450.0,17.0,450.4393,16.614,450.4393,16.614,192.72541868698872,27.93793207721922,1.015,0.93,37.13,0.00301,0.00276,36.95,450.4393,16.614,192.72541868698872,27.93793207721922,0.37852747198,0.36947029867,0.37852747198,0.36947029867,0.628,0.594,38.68,0.6282445,0.594396,38.68,25.3519,0.0,1.9,1.09,0.083,0.978,0.0,0,0,0_1,0_2,17349.83,93.82597,15.6142,0.0059,403.2505,68.0,75.0,450.0,17.0,450.5686,16.9901,450.5686,16.9901,192.72538075318008,27.93782538914864,1.734,1.535,56.49,0.01314,0.01153,59.57,450.5686,16.9901,192.72538075318008,27.93782538914864,0.94478730861,0.95650183989,0.94478730861,0.95650183989,1.009,0.94,47.5,1.008926,0.9398709,47.5,22.8724,0.0,3.18,1.13,0.115,0.975,0.0,,,0.3977055443415403
57,57,0_58,0_43,1098.575,17.33704,18.6103,0.0171,1.696456,151.0,151.0,174.0,13.0,173.7146,12.9137,173.7146,12.9137,192.81351685387247,27.94102304743794,2.873,2.632,49.36,0.05069,0.04758,47.05,173.7146,12.9137,192.81351685387247,27.94102304743794,4.0972611526,4.1083653489,4.0972611526,4.1083653489,2.085,1.964,45.65,2.084922,1.964364,45.65,25.3796,17.0,5.18,1.091,0.084,0.022,0.0,1,1,0_2,0_1,142.9446,20.27195,20.8245,0.154,403.3522,5.0,5.0,174.0,13.0,174.1849,12.6066,174.1849,12.6066,192.81336449045543,27.941105935901508,0.763,0.448,-18.48,0.13282,0.07672,-18.44,174.1849,12.6066,192.81336449045543,27.941105935901508,1.2130783236,1.2606186018,1.2130783236,1.2606186018,1.128,1.096,65.91,1.128052,1.095991,65.91,22.8821,0.0,3.44,1.704,0.413,0.29,0.0,,,0.5616871905251253
138,138,0_139,0_528,14546.12,69.03362,15.8055,0.0052,3.330536,4829.0,4829.0,203.0,285.0,203.1682,285.0369,203.1682,285.0369,192.8064341516683,27.864304891332768,21.226,19.392,-30.01,0.09022,0.0843,1.68,203.1682,285.0369,192.8064341516683,27.864304891332768,0.66142060083,0.66168419621,0.66142060083,0.66168419621,0.828,0.799,45.16,0.8278039,0.7986524,45.16,27.8192,3.0,1.99,1.095,0.086,0.029,0.0,22,22,0_23,0_17,4157.521,65.03445,17.1653,0.017,403.8553,38.0,44.0,203.0,285.0,203.2938,285.3757,203.2938,285.3757,192.80639704040823,27.864208719952448,1.534,1.352,59.88,0.03153,0.02745,54.22,203.2938,285.3757,192.80639704040823,27.864208719952448,0.85085732305,0.89115851923,0.85085732305,0.89115851923,0.962,0.904,55.99,0.9616908,0.9039726,55.99,22.8789,0.0,3.04,1.135,0.119,0.979,0.0,,,0.36133198031725955
139,139,0_140,0_630,33720.48,79.40437,14.8927,0.0026,1.726004,991.0,991.0,313.0,494.0,312.516,492.8262,312.516,492.8262,192.77340666270723,27.80508140279206,5.012,3.466,89.08,0.0155,0.01016,-88.53,312.516,492.8262,192.77340666270723,27.80508140279206,1.9611979863,2.080633565,1.9611979863,2.080633565,1.48,1.36,55.23,1.480449,1.360185,55.23,25.4298,16.0,4.09,1.446,0.309,0.23,0.0,3,3,0_4,0_37,28969.39,147.7222,15.0576,0.0055,404.4738,198.0,210.0,313.0,494.0,312.6467,493.8128,312.6467,493.8128,192.7733735168064,27.80480304690889,3.163,2.574,68.59,0.02192,0.0178,65.91,312.6467,493.8128,192.7733735168064,27.80480304690889,3.0633402447,3.3936976748,3.0633402447,3.3936976748,1.872,1.719,63.47,1.871733,1.71862,63.47,22.8571,16.0,5.25,1.229,0.186,0.029,0.0,,,0.9952195988825868
159,159,0_160,0_515,62603.63,101.5734,14.2209,0.0018,1.557057,67.0,67.0,500.0,460.0,500.0972,459.6214,500.0972,459.6214,192.7134475479369,27.81302256993924,0.919,0.834,31.43,0.00151,0.00137,31.66,500.0972,459.6214,192.7134475479369,27.81302256993924,0.30410761402,0.330996135,0.30410761402,0.330996135,0.582,0.544,64.77,0.5819545,0.5444564,64.77,25.3627,0.0,1.63,1.102,0.092,0.999,0.0,7,7,0_8,0_33,58424.2,139.7466,14.2959,0.0026,404.1592,113.0,123.0,500.0,460.0,500.2287,460.0232,500.2287,460.0232,192.7134092045733,27.81290862099898,1.891,1.668,53.15,0.00675,0.0057,53.63,500.2287,460.0232,192.7134092045733,27.81290862099898,0.97986740155,0.96658408348,0.97986740155,0.96658408348,1.02,0.951,42.2,1.020471,0.9513626,42.2,22.8588,16.0,3.24,1.133,0.118,0.984,0.0,,,0.42277120289819703
166,166,0_167,0_509,2744.51,24.64351,17.6162,0.0098,3.215075,232.0,232.0,327.0,457.0,326.128,455.745,326.128,455.745,192.768759313685,27.81540670025285,3.409,2.379,76.52,0.03667,0.02421,78.79,326.128,455.745,192.768759313685,27.81540670025285,1.5572455879,1.4610938907,1.5572455879,1.4610938907,1.252,1.204,17.61,1.252206,1.204292,17.61,26.944,1.0,5.25,1.433,0.302,0.031,0.0,8,8,0_9,0_32,1697.143,54.95881,18.1381,0.0352,404.0962,31.0,34.0,327.0,457.0,326.594,456.9369,326.594,456.9369,192.76862125732384,27.81506815155977,1.523,1.373,59.19,0.05939,0.05183,65.79,326.594,456.9369,192.76862125732384,27.81506815155977,1.5712023845,1.5377866922,1.5712023845,1.5377866922,1.27,1.223,36.66,1.269917,1.223234,36.66,22.8515,0.0,4.32,1.11,0.099,0.034,0.0,,,1.2797584186087425
