col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
11,11,0_12,0_29,4685.063,65.76299,17.0356,0.0152,403.7649,37.0,44.0,360.0,432.0,359.6855,432.1159,359.6855,432.1159,192.75788070395723,27.82180200953645,1.537,1.319,61.06,0.02865,0.02386,64.11,359.6855,432.1159,192.75788070395723,27.82180200953645,0.85557440923,0.88294535521,0.85557440923,0.88294535521,0.967,0.896,50.93,0.9674029,0.8959081,50.93,22.8322,0.0,3.02,1.165,0.142,0.981,0.0
12,12,0_13,0_28,1141.818,44.37525,18.5684,0.0422,404.0671,17.0,22.0,382.0,401.0,382.1184,401.0405,382.1184,401.0405,192.7504765094633,27.83037246939332,1.234,1.088,50.34,0.0572,0.05164,45.6,382.1184,401.0405,192.7504765094633,27.83037246939332,0.81229940984,0.87505619022,0.81229940984,0.87505619022,0.963,0.872,56.04,0.962887,0.8718969,56.04,22.8464,0.0,3.4,1.135,0.119,0.884,0.0
13,13,0_14,0_27,416.1078,30.8143,19.6644,0.0804,403.5226,10.0,11.0,190.0,402.0,189.6235,401.8595,189.6235,401.8595,192.8117316052132,27.8315585659318,1.012,0.73,16.98,0.09513,0.06731,15.27,189.6235,401.8595,192.8117316052132,27.8315585659318,0.80724118777,0.68657461248,0.80724118777,0.68657461248,0.928,0.795,29.1,0.9281036,0.7952606,29.1,22.8637,0.0,3.39,1.387,0.279,0.526,0.0
17,17,0_18,0_23,470.1624,33.48721,19.5318,0.0774,403.5739,12.0,13.0,17.0,367.0,16.8262,367.2181,16.8262,367.2181,192.86642455249097,27.842549369518466,1.154,0.816,-68.3,0.1003,0.06881,-70.01,16.8262,367.2181,192.86642455249097,27.842549369518466,1.6159483406,1.9477682847,1.6159483406,1.9477682847,1.413,1.252,-70.44,1.412698,1.252198,-70.44,22.8624,0.0,5.64,1.414,0.293,0.284,0.0
18,18,0_19,0_21,494.5713,33.61023,19.4768,0.0738,407.7146,11.0,13.0,464.0,326.0,464.5656,326.5469,464.5656,326.5469,192.7235992031056,27.85070081313027,1.003,0.87,47.42,0.07466,0.06352,45.32,464.5656,326.5469,192.7235992031056,27.85070081313027,0.81220430596,0.85543674904,0.81220430596,0.85543674904,0.939,0.887,58.7,0.9385052,0.8870451,58.7,23.0528,0.0,2.97,1.152,0.132,0.58,0.0
19,19,0_20,0_20,465.2447,33.54963,19.5432,0.0783,403.7629,10.0,13.0,244.0,294.0,244.3452,294.3427,244.3452,294.3427,192.79340767644095,27.861386938386328,1.008,0.851,39.99,0.08603,0.07317,44.74,244.3452,294.3427,192.79340767644095,27.861386938386328,0.86813054311,0.73917801143,0.86813054311,0.73917801143,0.958,0.831,27.76,0.9578997,0.8305039,27.76,22.8717,0.0,2.89,1.184,0.156,0.488,0.0
20,20,0_21,0_19,424.4169,32.21811,19.6429,0.0824,403.5392,11.0,12.0,260.0,294.0,260.3366,293.9387,260.3366,293.9387,192.78831477686188,27.86138307082022,1.034,0.833,34.12,0.09096,0.07339,34.72,260.3366,293.9387,192.78831477686188,27.86138307082022,1.5316316532,1.3594918575,1.5316316532,1.3594918575,1.267,1.134,28.73,1.267105,1.133829,28.73,22.859,0.0,3.11,1.241,0.194,0.483,0.0
21,21,0_22,0_18,875.034,38.9071,18.8573,0.0483,403.6009,16.0,17.0,185.0,293.0,185.5417,293.1841,185.5417,293.1841,192.8121129044977,27.862143100334205,1.117,0.966,69.66,0.06399,0.05033,74.88,185.5417,293.1841,192.8121129044977,27.862143100334205,0.86211500711,0.79526095746,0.86211500711,0.79526095746,0.931,0.889,14.75,0.931179,0.8889778,14.75,22.8667,0.0,3.16,1.156,0.135,0.811,0.0
24,24,0_25,0_15,827.8387,38.79826,18.9175,0.0509,403.8445,15.0,17.0,221.0,265.0,221.2544,264.754,221.2544,264.754,192.80050615205025,27.869874962676292,1.096,0.971,36.38,0.06428,0.05607,42.41,221.2544,264.754,192.80050615205025,27.869874962676292,0.7426499505,0.640692553,0.7426499505,0.640692553,0.867,0.794,16.45,0.8674062,0.794323,16.45,22.8761,0.0,2.99,1.129,0.114,0.568,0.0
25,25,0_26,0_14,530.5049,31.19151,19.4007,0.0639,403.8867,10.0,11.0,219.0,254.0,219.1208,254.1864,219.1208,254.1864,192.80109581895255,27.87286160505909,0.941,0.806,53.75,0.07176,0.06142,50.7,219.1208,254.1864,192.80109581895255,27.87286160505909,0.65161729501,0.69377023571,0.65161729501,0.69377023571,0.86,0.778,54.08,0.8604338,0.777844,54.08,22.8771,0.0,3.02,1.168,0.144,0.541,0.0
