,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
0,0,0_1,0_2,9.058949,1.218636,23.9112,0.1461,2.82019e-06,3.0,3.0,290.0,9.0,290.084,8.9435,290.084,8.9435,192.78298636612013,27.94976387308888,0.514,0.296,-31.8,0.06917,0.03979,-31.8,290.084,8.9435,192.78298636612013,27.94976387308888,0.21528283742,0.13663005793,0.21528283742,0.13663005793,0.514,0.296,-31.8,0.5142239,0.2957814,-31.8,42.524,0.0,0.0,1.739,0.425,1.0,0.0
1,1,0_2,0_1,123.8257,4.505474,21.0718,0.0395,1.145253e-07,3.0,3.0,97.0,2.0,97.2775,2.0,97.2775,2.0,192.8443360349244,27.95313518047845,0.538,0.289,0.0,0.01958,0.0105,0.0,97.2775,2.0,192.8443360349244,27.95313518047845,0.11351507937,0.0833333,0.11351507937,0.0833333,0.337,0.289,0.0,0.33692,0.2886751,0.0,43.7027,16.0,0.93,1.864,0.463,1.0,0.0
2,2,0_3,0_151,3.508204,0.7583636,24.9412,0.2348,0.0,1.0,1.0,320.0,504.0,320.0,504.0,320.0,504.0,192.7776765266375,27.81036785717377,0.289,0.289,45.0,0.0624,0.0624,45.0,320.0,504.0,192.7776765266375,27.81036785717377,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,43.7422,0.0,0.0,1.0,0.0,1.0,0.0
3,3,0_4,0_150,0.09354766,0.1238373,28.8763,1.4376,0.0,1.0,1.0,220.0,498.0,220.0,498.0,220.0,498.0,192.809434620384,27.812793538484662,0.289,0.289,45.0,0.38214,0.38214,45.0,220.0,498.0,192.809434620384,27.812793538484662,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,48.721,0.0,0.0,1.0,0.0,0.999,0.0
4,4,0_5,0_149,1112.557,13.50505,18.6881,0.0132,0.0,24.0,24.0,348.0,487.0,347.8503,486.4683,347.8503,486.4683,192.7686680555262,27.815090213260564,0.992,0.76,-8.93,0.01204,0.00923,-8.93,347.8503,486.4683,192.7686680555262,27.815090213260564,0.41863487832,0.36233285987,0.41863487832,0.36233285987,0.656,0.592,-22.96,0.6564654,0.5916257,-22.96,47.5647,0.0,2.38,1.305,0.234,1.0,0.0
5,5,0_6,0_148,1130.237,13.61193,18.6709,0.0131,-3.258241e-05,8.0,8.0,38.0,484.0,37.7413,484.0277,37.7413,484.0277,192.8672944402614,27.81805186592367,0.451,0.39,-27.33,0.00544,0.0047,-27.33,37.7413,484.0277,192.8672944402614,27.81805186592367,0.10768666445,0.09596925665,0.10768666445,0.09596925665,0.328,0.31,-0.79,0.3281599,0.3097854,-0.79,54.7905,0.0,0.92,1.157,0.136,1.0,0.0
6,6,0_7,0_147,777.5142,11.28988,19.0771,0.0158,-3.363348e-09,27.0,27.0,433.0,478.0,432.9873,478.2804,432.9873,478.2804,192.74151585283016,27.81675648872675,0.97,0.834,38.0,0.01408,0.01212,38.0,432.9873,478.2804,192.74151585283016,27.81675648872675,0.50228701407,0.49878195185,0.50228701407,0.49878195185,0.755,0.657,44.27,0.7547387,0.6568398,44.27,99.0,0.0,3.23,1.163,0.14,1.0,0.0
7,7,0_8,0_146,0.1628147,0.1633736,28.2746,1.0897,0.0006291075,1.0,1.0,341.0,478.0,341.0,478.0,341.0,478.0,192.7707748510452,27.81752211788246,0.289,0.289,45.0,0.2891,0.2891,45.0,341.0,478.0,192.7707748510452,27.81752211788246,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,1.0,0.0
8,8,0_9,0_145,22.23187,1.909075,22.9364,0.0933,0.001571991,2.0,2.0,336.0,477.0,336.0,476.9982,336.0,476.9982,192.7723568313427,27.817840951924644,0.292,0.289,90.0,0.02505,0.02479,90.0,336.0,476.9982,192.7723568313427,27.817840951924644,0.0833333,0.083447349178,0.0833333,0.083447349178,0.289,0.289,90.0,0.2888725,0.2886751,90.0,99.0,0.0,0.0,1.011,0.011,1.0,0.0
9,9,0_10,0_144,0.05393699,0.0940326,29.4741,1.8933,-1.553943e-05,1.0,1.0,63.0,473.0,63.0,473.0,63.0,473.0,192.8591678257413,27.820969529481737,0.289,0.289,45.0,0.50326,0.50326,45.0,63.0,473.0,192.8591678257413,27.820969529481737,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,52.2795,0.0,0.0,1.0,0.0,0.999,0.0
