,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
0,0,0_1,0_5,3510.146,48.89236,17.5423,0.0151,187.9483,34.0,37.0,18.0,18.0,17.621,17.9969,17.621,17.9969,142.60122677524274,27.9820528681739,1.387,1.186,67.82,0.02554,0.0211,64.43,17.621,17.9969,142.60122677524274,27.9820528681739,0.5152462569,0.59052946697,0.5152462569,0.59052946697,0.774,0.712,72.79,0.7736368,0.7122231,72.79,23.3215,0.0,2.4,1.17,0.145,0.999,0.0
1,1,0_2,0_4,5903.955,57.05149,16.9777,0.0105,187.3441,43.0,49.0,193.0,14.0,192.6086,13.8692,192.6086,13.8692,142.54546493904255,27.982732583038576,1.466,1.306,69.8,0.01901,0.01717,66.29,192.6086,13.8692,142.54546493904255,27.982732583038576,0.55963466214,0.62148848294,0.55963466214,0.62148848294,0.797,0.739,67.41,0.7965108,0.7393874,67.41,23.3468,0.0,2.56,1.123,0.109,0.999,0.0
2,2,0_3,0_2,1596.335,39.04951,18.3978,0.0266,187.3506,23.0,27.0,179.0,7.0,178.9503,7.1557,178.9503,7.1557,142.54979360458918,27.984658337073807,1.309,1.112,-82.71,0.04146,0.03313,-79.5,178.9503,7.1557,142.54979360458918,27.984658337073807,0.58169886166,0.63113462889,0.58169886166,0.63113462889,0.799,0.758,69.76,0.7993202,0.7575756,69.76,23.3472,16.0,2.67,1.177,0.15,0.924,0.0
3,3,0_4,0_1,909.6412,30.51472,19.0084,0.0364,187.7151,15.0,17.0,331.0,0.0,330.7286,0.6888000000000001,330.7286,0.6888000000000001,142.50142238366098,27.98603869681129,1.407,0.717,2.3,0.06725,0.03412,3.7,330.7286,0.6888000000000001,142.50142238366098,27.98603869681129,0.85381088493,0.31161497272,0.85381088493,0.31161497272,0.924,0.558,-0.04,0.924019,0.5582246,-0.04,23.3567,24.0,3.57,1.964,0.491,0.964,0.0
4,4,0_5,0_73,2419.293,45.28973,17.9464,0.0203,188.2249,30.0,34.0,42.0,470.0,42.1189,470.0361,42.1189,470.0361,142.5948562666144,27.854898616901483,1.335,1.19,61.61,0.03239,0.02801,54.61,42.1189,470.0361,142.5948562666144,27.854898616901483,0.53477972894,0.57845046458,0.53477972894,0.57845046458,0.766,0.725,67.73,0.7663212,0.7252462,67.73,23.363,0.0,2.49,1.122,0.109,0.908,0.0
6,6,0_7,0_71,712.4085,30.05495,19.2738,0.0458,187.5044,14.0,17.0,282.0,437.0,282.3545,436.9972,282.3545,436.9972,142.51830103099743,27.86351825136465,1.107,0.919,-75.7,0.05828,0.04574,-75.6,282.3545,436.9972,142.51830103099743,27.86351825136465,0.59353016667,0.64950562018,0.59353016667,0.64950562018,0.813,0.763,-67.99,0.8126768,0.7632772,-67.99,23.3465,0.0,2.34,1.204,0.17,0.94,0.0
7,7,0_8,0_70,519.804,27.10692,19.616,0.0566,187.4177,11.0,14.0,276.0,434.0,276.5028,433.7666,276.5028,433.7666,142.52015232238242,27.86444351959248,0.945,0.925,2.37,0.06095,0.05974,0.39,276.5028,433.7666,142.52015232238242,27.86444351959248,0.50021233871,0.50540450096,0.50021233871,0.50540450096,0.712,0.706,-61.56,0.7124317,0.7057322,-61.56,23.3391,0.0,2.48,1.021,0.021,0.85,0.0
8,8,0_9,0_69,611.0221,28.56383,19.4404,0.0508,187.1843,14.0,15.0,73.0,428.0,72.6793,428.2952,72.6793,428.2952,142.58499870153847,27.866552668941765,1.005,0.934,41.63,0.05955,0.05261,45.24,72.6793,428.2952,142.58499870153847,27.866552668941765,0.68538396323,0.66218447622,0.68538396323,0.66218447622,0.828,0.813,11.26,0.8284577,0.8131583,11.26,23.3146,0.0,2.48,1.076,0.07,0.7,0.0
9,9,0_10,0_68,993.0733,37.10799,18.9131,0.0406,187.4589,25.0,25.0,47.0,427.0,46.9261,427.015,46.9261,427.015,142.59319118911188,27.866982018840964,1.339,1.216,29.86,0.06004,0.05322,21.32,46.9261,427.015,142.59319118911188,27.866982018840964,1.2244905794,1.2785404482,1.2244905794,1.2785404482,1.142,1.095,60.58,1.141819,1.095117,60.58,23.3184,0.0,4.4,1.101,0.092,0.024,0.0
10,10,0_11,0_67,946.9819,31.89951,18.9647,0.0366,187.8996,16.0,19.0,340.0,420.0,340.1134,420.4096,340.1134,420.4096,142.49986621377124,27.86801331035081,1.078,1.001,-67.09,0.04686,0.04217,-58.9,340.1134,420.4096,142.49986621377124,27.86801331035081,0.51307525271,0.58981536732,0.51307525271,0.58981536732,0.768,0.716,87.43,0.7680953,0.7161844,87.43,23.3725,0.0,2.2,1.077,0.072,0.934,0.0
