col1_1,Unnamed: 0_1,NUMBER_1,ID_PARENT_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,ISOAREA_IMAGE_1,ISOAREAF_IMAGE_1,XPEAK_IMAGE_1,YPEAK_IMAGE_1,X_IMAGE_1,Y_IMAGE_1,X_IMAGE_DBL_1,Y_IMAGE_DBL_1,X_WORLD_1,Y_WORLD_1,A_IMAGE_1,B_IMAGE_1,THETA_IMAGE_1,ERRA_IMAGE_1,ERRB_IMAGE_1,ERRTHETA_IMAGE_1,XWIN_IMAGE_1,YWIN_IMAGE_1,XWIN_WORLD_1,YWIN_WORLD_1,X2WIN_IMAGE_1,Y2WIN_IMAGE_1,X2WIN_WORLD_1,Y2WIN_WORLD_1,AWIN_IMAGE_1,BWIN_IMAGE_1,THETAWIN_IMAGE_1,AWIN_WORLD_1,BWIN_WORLD_1,THETAWIN_WORLD_1,MU_THRESHOLD_1,FLAGS_1,FWHM_IMAGE_1,ELONGATION_1,ELLIPTICITY_1,CLASS_STAR_1,SUBDIV_NUMBER_1,col1_2,Unnamed: 0_2,NUMBER_2,ID_PARENT_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,ISOAREA_IMAGE_2,ISOAREAF_IMAGE_2,XPEAK_IMAGE_2,YPEAK_IMAGE_2,X_IMAGE_2,Y_IMAGE_2,X_IMAGE_DBL_2,Y_IMAGE_DBL_2,X_WORLD_2,Y_WORLD_2,A_IMAGE_2,B_IMAGE_2,THETA_IMAGE_2,ERRA_IMAGE_2,ERRB_IMAGE_2,ERRTHETA_IMAGE_2,XWIN_IMAGE_2,YWIN_IMAGE_2,XWIN_WORLD_2,YWIN_WORLD_2,X2WIN_IMAGE_2,Y2WIN_IMAGE_2,X2WIN_WORLD_2,Y2WIN_WORLD_2,AWIN_IMAGE_2,BWIN_IMAGE_2,THETAWIN_IMAGE_2,AWIN_WORLD_2,BWIN_WORLD_2,THETAWIN_WORLD_2,MU_THRESHOLD_2,FLAGS_2,FWHM_IMAGE_2,ELONGATION_2,ELLIPTICITY_2,CLASS_STAR_2,SUBDIV_NUMBER_2,Separation
1,1,0_2,0_2,10792.97,42.06353,15.6879,0.0042,-0.01173345,4.0,4.0,3.0,3.0,2.9731,3.2795,2.9731,3.2795,192.88692221372872,27.95562795841681,0.534,0.331,88.98,0.00208,0.00129,88.98,2.9731,3.2795,192.88692221372872,27.95562795841681,0.085391517473,0.11416575559,0.085391517473,0.11416575559,0.338,0.292,89.93,0.3378843,0.2922182,89.93,31.7773,16.0,0.93,1.613,0.38,1.0,0.0,3,3,0_4,0_1,14045.25,86.23553,15.4019,0.0067,195.0931,118.0,123.0,3.0,3.0,2.8147,3.2220000000000004,2.8147,3.2220000000000004,192.88697212877932,27.95564529049337,11.678,1.69,-4.66,0.15036,0.01351,-4.57,2.8147,3.2220000000000004,192.88697212877932,27.95564529049337,1.2422122985,1.3360744403,1.2422122985,1.3360744403,1.156,1.115,88.19,1.155927,1.114504,88.19,22.7777,26.0,3.21,6.912,0.855,0.813,0.0,0.16851353061401309
2,2,0_3,0_1,53250.09,93.43192,13.9549,0.0019,2.459202E-4,4.0,4.0,136.0,2.0,136.4397,2.1177,136.4397,2.1177,192.8444568622044,27.954961438378817,0.497,0.321,-4.73,8.7E-4,5.6E-4,-4.73,136.4397,2.1177,192.8444568622044,27.954961438378817,0.24679717253,0.10469343854,0.24679717253,0.10469343854,0.497,0.324,-0.59,0.4968019,0.3235406,-0.59,35.4296,16.0,1.15,1.551,0.355,1.0,0.0,2,2,0_3,0_1,75126.28,188.1218,13.5813,0.0027,195.6737,545.0,560.0,136.0,2.0,136.4692,2.3076,136.4692,2.3076,192.84444904357449,27.95490785162375,80.816,1.604,-0.5,0.45847,0.00518,-0.5,136.4692,2.3076,192.84444904357449,27.95490785162375,2.4624118149,2.0162469373,2.4624118149,2.0162469373,1.569,1.42,0.15,1.569208,1.419945,0.15,22.8066,26.0,3.56,50.372,0.98,0.773,0.0,0.1921776782043135
11,11,0_12,0_599,1739.825,16.88837,17.6695,0.0105,-3.963157E-5,27.0,27.0,388.0,493.0,387.7446,492.8235,387.7446,492.8235,192.76866787722776,27.815166977290275,1.066,1.052,41.59,0.01034,0.01021,41.59,387.7446,492.8235,192.76866787722776,27.815166977290275,0.6246228767,0.5231184888,0.6246228767,0.5231184888,0.791,0.722,7.48,0.7914565,0.7220374,7.48,52.3371,0.0,2.6,1.013,0.013,1.0,0.0,45,45,0_46,0_45,1507.6,44.18604,17.825,0.0318,195.0662,35.0,40.0,388.0,493.0,387.786,492.8869,387.786,492.8869,192.7686552607917,27.815148845692345,1.638,1.474,-16.0,0.05706,0.04999,-18.12,387.786,492.8869,192.7686552607917,27.815148845692345,1.8262794218,1.7348845889,1.8262794218,1.7348845889,1.351,1.317,0.14,1.351399,1.31715,0.14,22.7651,0.0,4.68,1.112,0.1,0.034,0.0,0.07572001056524637
16,16,0_17,0_594,1843.431,17.38395,17.6067,0.0102,1.142924E-4,10.0,10.0,77.0,491.0,77.2898,490.7655,77.2898,490.7655,192.86729861979347,27.818068898802856,0.608,0.568,-15.41,0.00574,0.00535,-15.41,77.2898,490.7655,192.86729861979347,27.818068898802856,0.19928235039,0.16684604508,0.19928235039,0.16684604508,0.448,0.407,-11.84,0.4480783,0.4066377,-11.84,45.227,0.0,1.3,1.071,0.067,1.0,0.0,46,46,0_47,0_44,1511.389,40.44403,17.8223,0.0291,195.2717,29.0,33.0,77.0,491.0,77.3067,490.848,77.3067,490.848,192.86729393276272,27.81804558593221,1.426,1.29,-57.4,0.04809,0.04124,-63.84,77.3067,490.848,192.86729393276272,27.81804558593221,1.0396413736,0.98770683404,1.0396413736,0.98770683404,1.024,0.99,-19.99,1.023504,0.9898427,-19.99,22.7721,0.0,3.39,1.105,0.095,0.914,0.0,0.08421318186606304
23,23,0_24,0_587,1150.87,13.73562,18.1182,0.013,9.816403E-6,16.0,16.0,473.0,484.0,472.9597,484.7778,472.9597,484.7778,192.74151836892565,27.816779519190025,0.925,0.857,-22.39,0.01104,0.01023,-22.39,472.9597,484.7778,192.74151836892565,27.816779519190025,0.50429320467,0.50074219438,0.50429320467,0.50074219438,0.711,0.706,-30.65,0.711488,0.706272,-30.65,56.0204,0.0,2.7,1.079,0.073,1.0,0.0,47,47,0_48,0_43,901.1025,35.61653,18.3838,0.0429,194.6733,24.0,27.0,473.0,485.0,472.9423,484.8599,472.9423,484.8599,192.7415246031984,27.81675657976434,1.335,1.312,-18.67,0.06264,0.0622,-38.1,472.9423,484.8599,192.7415246031984,27.81675657976434,1.629025387,1.5615602541,1.629025387,1.5615602541,1.276,1.25,-2.75,1.276394,1.249562,-2.75,22.7456,0.0,4.3,1.018,0.018,0.138,0.0,0.08392359620509093
45,45,0_46,0_565,5922.435,31.15912,16.3395,0.0057,-3.025626E-5,9.0,9.0,421.0,468.0,421.0031,467.9852,421.0031,467.9852,192.75788664689213,27.821894775289827,0.502,0.479,-23.24,0.00264,0.00252,-23.24,421.0031,467.9852,192.75788664689213,27.821894775289827,0.10393618433,0.10226636401,0.10393618433,0.10226636401,0.322,0.32,-1.6,0.3223934,0.3197891,-1.6,54.2151,0.0,2.86,1.05,0.047,1.0,0.0,4,4,0_5,0_42,5375.238,57.40735,16.4447,0.0116,195.1427,52.0,57.0,421.0,468.0,421.0053,468.0814,421.0053,468.0814,192.75788676918745,27.821867723404303,1.586,1.547,4.31,0.02207,0.02141,30.99,421.0053,468.0814,192.75788676918745,27.821867723404303,1.0490947021,1.0181159699,1.0490947021,1.0181159699,1.024,1.009,-6.41,1.024446,1.008821,-6.41,22.7593,0.0,3.23,1.025,0.025,0.981,0.0,0.09622515263688004
63,63,0_64,0_547,468.1452,8.760429,19.0948,0.0203,7.275271E-5,9.0,9.0,248.0,452.0,247.9207,452.0986,247.9207,452.0986,192.8127579320657,27.82766661980208,0.8,0.587,-44.67,0.01497,0.01099,-44.67,247.9207,452.0986,192.8127579320657,27.82766661980208,0.29213146513,0.32702903774,0.29213146513,0.32702903774,0.605,0.503,-53.94,0.6053214,0.502739,-53.94,99.0,0.0,2.27,1.362,0.266,1.0,0.0,6,6,0_7,0_41,236.909,20.33404,19.8343,0.0932,196.2749,9.0,9.0,248.0,452.0,247.9239,452.1772,247.9239,452.1772,192.8127575754303,27.82764450557452,1.016,0.654,-31.97,0.10819,0.06694,-29.77,247.9239,452.1772,192.8127575754303,27.82764450557452,0.90462530515,0.96687132362,0.90462530515,0.96687132362,1.018,0.914,-54.05,1.017783,0.91412,-54.05,22.8592,0.0,4.84,1.554,0.356,0.544,0.0,0.07866511297905836
77,77,0_78,0_533,1475.441,15.55235,17.8484,0.0114,4.48863E-4,11.0,11.0,251.0,438.0,250.7096,437.7434,250.7096,437.7434,192.81175102741776,27.831680170279466,0.708,0.631,-28.5,0.00747,0.00665,-28.5,250.7096,437.7434,192.81175102741776,27.831680170279466,0.27250013548,0.26427506591,0.27250013548,0.26427506591,0.536,0.499,-38.88,0.5364467,0.4989991,-38.88,99.0,0.0,1.58,1.123,0.11,1.0,0.0,8,8,0_9,0_39,1170.707,37.4085,18.0996,0.0347,195.5569,26.0,29.0,251.0,438.0,250.6889,437.7617,250.6889,437.7617,192.8117577596932,27.83167518242615,1.394,1.235,-32.14,0.05403,0.04646,-35.16,250.6889,437.7617,192.8117577596932,27.83167518242615,1.1907653656,1.1138914585,1.1907653656,1.1138914585,1.096,1.05,-19.43,1.096213,1.050225,-19.43,22.808,0.0,3.71,1.129,0.114,0.616,0.0,0.02762933223949863
80,80,0_81,0_530,1780.026,17.08238,17.6447,0.0104,-8.002026E-6,10.0,10.0,443.0,437.0,443.3889,437.1821,443.3889,437.1821,192.75050868308136,27.830380846059683,0.666,0.598,43.05,0.0064,0.00574,43.05,443.3889,437.1821,192.75050868308136,27.830380846059683,0.23365108653,0.21847254153,0.23365108653,0.21847254153,0.49,0.46,29.18,0.4904391,0.4599926,29.18,52.1634,0.0,1.49,1.114,0.102,1.0,0.0,7,7,0_8,0_40,1440.807,39.9768,17.8742,0.0301,195.6627,31.0,32.0,443.0,437.0,443.4498,437.3317,443.4498,437.3317,192.75049060668735,27.830338340258272,1.369,1.321,37.9,0.04501,0.04466,59.26,443.4498,437.3317,192.75049060668735,27.830338340258272,1.0376090265,1.0209404697,1.0376090265,1.0209404697,1.033,0.996,38.58,1.032846,0.9958808,38.58,22.7799,0.0,3.45,1.036,0.035,0.904,0.0,0.16152080361367288
97,97,0_98,0_513,411.8819,8.217155,19.2338,0.0217,-5.961772E-6,10.0,10.0,134.0,425.0,134.4672,424.7783,134.4672,424.7783,192.84858376409912,27.836191779031942,0.698,0.634,7.13,0.01392,0.01265,7.13,134.4672,424.7783,192.84858376409912,27.836191779031942,0.27645432034,0.25638139037,0.27645432034,0.25638139037,0.53,0.502,22.92,0.529929,0.5020069,22.92,38.9038,0.0,1.66,1.101,0.091,1.0,0.0,10,10,0_11,0_37,230.6208,20.40729,19.8635,0.0961,195.7725,9.0,9.0,134.0,425.0,134.3191,424.8855,134.3191,424.8855,192.8486317181668,27.836162750127905,0.914,0.685,20.69,0.10303,0.07432,20.32,134.3191,424.8855,192.8486317181668,27.836162750127905,0.91369852023,0.80740527554,0.91369852023,0.80740527554,0.958,0.896,10.97,0.9580449,0.8962442,10.97,22.7999,0.0,3.55,1.336,0.251,0.59,0.0,0.18282628366839115
