col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
1,1,0_2,0_4,2.60859,0.6384294,25.2306,0.2658,-0.002765432,1.0,1.0,254.0,3.0,254.0,3.0,254.0,3.0,317.1963665413172,63.05687282630557,0.289,0.289,45.0,0.07065,0.07065,45.0,254.0,3.0,317.1963665413172,63.05687282630557,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,39.2985,0.0,0.0,1.0,0.0,1.0,0.0
4,4,0_5,0_5,3.74451,0.764905,24.8381,0.2218,-1.799878E-4,1.0,1.0,200.0,4.0,200.0,4.0,200.0,4.0,317.22977660972674,63.05563631131739,0.289,0.289,45.0,0.05897,0.05897,45.0,200.0,4.0,317.22977660972674,63.05563631131739,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,37.9122,0.0,0.0,1.0,0.0,1.0,0.0
5,5,0_6,0_7,6.393693,0.9995072,24.2572,0.1698,9.881575E-4,1.0,1.0,466.0,4.0,466.0,4.0,466.0,4.0,317.0649839573824,63.06026795115939,0.289,0.289,45.0,0.04513,0.04513,45.0,466.0,4.0,317.0649839573824,63.06026795115939,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,41.5951,0.0,0.0,1.0,0.0,1.0,0.0
6,6,0_7,0_8,2.685966,0.6478288,25.1989,0.2619,0.01323397,1.0,1.0,38.0,5.0,38.0,5.0,38.0,5.0,317.3300669043616,63.0524409558581,0.289,0.289,45.0,0.06962,0.06962,45.0,38.0,5.0,317.3300669043616,63.0524409558581,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,35.1735,0.0,0.0,1.0,0.0,1.0,0.0
7,7,0_8,0_11,17.49677,1.653442,23.1642,0.1026,2.533088E-4,2.0,2.0,129.0,5.0,129.2021,5.0,129.2021,5.0,317.2735868644551,63.05409055467282,0.495,0.289,0.0,0.04674,0.02728,0.0,129.2021,5.0,317.2735868644551,63.05409055467282,0.099750290365,0.0833333,0.099750290365,0.0833333,0.316,0.289,0.0,0.3158327,0.2886751,0.0,35.6046,0.0,0.87,1.713,0.416,1.0,0.0
8,8,0_9,0_12,8.822538,1.174105,23.9076,0.1445,-1.745346E-5,1.0,1.0,184.0,5.0,184.0,5.0,184.0,5.0,317.23964764688264,63.05507085682338,0.289,0.289,45.0,0.03842,0.03842,45.0,184.0,5.0,317.23964764688264,63.05507085682338,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,37.1078,0.0,0.0,1.0,0.0,1.0,0.0
9,9,0_10,0_13,25.62968,2.001159,22.7498,0.0848,-9.79396E-5,1.0,1.0,192.0,5.0,192.0,5.0,192.0,5.0,317.23469259316096,63.05521329160142,0.289,0.289,45.0,0.02254,0.02254,45.0,192.0,5.0,317.23469259316096,63.05521329160142,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,37.4851,0.0,0.0,1.0,0.0,1.0,0.0
10,10,0_11,0_14,10.53899,1.283245,23.7146,0.1322,-0.004007054,1.0,1.0,271.0,5.0,271.0,5.0,271.0,5.0,317.1857582533387,63.05661052969082,0.289,0.289,45.0,0.03515,0.03515,45.0,271.0,5.0,317.1857582533387,63.05661052969082,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,40.0302,0.0,0.0,1.0,0.0,1.0,0.0
12,12,0_13,0_16,0.1095936,0.1308587,28.6722,1.2967,2.649674E-4,1.0,1.0,115.0,6.0,115.0,6.0,115.0,6.0,317.28234288698184,63.053554421268295,0.289,0.289,45.0,0.34468,0.34468,45.0,115.0,6.0,317.28234288698184,63.053554421268295,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,35.4205,0.0,0.0,1.0,0.0,0.999,0.0
13,13,0_14,0_17,3.266841,0.7144536,24.9863,0.2375,-0.005247785,1.0,1.0,349.0,6.0,349.0,6.0,349.0,6.0,317.1373994318901,63.05769271799974,0.289,0.289,45.0,0.06313,0.06313,45.0,349.0,6.0,317.1373994318901,63.05769271799974,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,41.2564,0.0,0.0,1.0,0.0,1.0,0.0
