col1_1,Unnamed: 0_1,NUMBER_1,ID_PARENT_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO_1,MAGERR_ISO_1,BACKGROUND_1,ISOAREA_IMAGE_1,ISOAREAF_IMAGE_1,XPEAK_IMAGE_1,YPEAK_IMAGE_1,X_IMAGE_1,Y_IMAGE_1,X_IMAGE_DBL_1,Y_IMAGE_DBL_1,X_WORLD_1,Y_WORLD_1,A_IMAGE_1,B_IMAGE_1,THETA_IMAGE_1,ERRA_IMAGE_1,ERRB_IMAGE_1,ERRTHETA_IMAGE_1,XWIN_IMAGE_1,YWIN_IMAGE_1,XWIN_WORLD_1,YWIN_WORLD_1,X2WIN_IMAGE_1,Y2WIN_IMAGE_1,X2WIN_WORLD_1,Y2WIN_WORLD_1,AWIN_IMAGE_1,BWIN_IMAGE_1,THETAWIN_IMAGE_1,AWIN_WORLD_1,BWIN_WORLD_1,THETAWIN_WORLD_1,MU_THRESHOLD_1,FLAGS_1,FWHM_IMAGE_1,ELONGATION_1,ELLIPTICITY_1,CLASS_STAR_1,SUBDIV_NUMBER_1,col1_2,Unnamed: 0_2,NUMBER_2,ID_PARENT_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO_2,MAGERR_ISO_2,BACKGROUND_2,ISOAREA_IMAGE_2,ISOAREAF_IMAGE_2,XPEAK_IMAGE_2,YPEAK_IMAGE_2,X_IMAGE_2,Y_IMAGE_2,X_IMAGE_DBL_2,Y_IMAGE_DBL_2,X_WORLD_2,Y_WORLD_2,A_IMAGE_2,B_IMAGE_2,THETA_IMAGE_2,ERRA_IMAGE_2,ERRB_IMAGE_2,ERRTHETA_IMAGE_2,XWIN_IMAGE_2,YWIN_IMAGE_2,XWIN_WORLD_2,YWIN_WORLD_2,X2WIN_IMAGE_2,Y2WIN_IMAGE_2,X2WIN_WORLD_2,Y2WIN_WORLD_2,AWIN_IMAGE_2,BWIN_IMAGE_2,THETAWIN_IMAGE_2,AWIN_WORLD_2,BWIN_WORLD_2,THETAWIN_WORLD_2,MU_THRESHOLD_2,FLAGS_2,FWHM_IMAGE_2,ELONGATION_2,ELLIPTICITY_2,CLASS_STAR_2,SUBDIV_NUMBER_2,Separation
4,4,0_5,0_149,1112.557,13.50505,18.6881,0.0132,0.0,24.0,24.0,348.0,487.0,347.8503,486.4683,347.8503,486.4683,192.7686680555262,27.815090213260564,0.992,0.76,-8.93,0.01204,0.00923,-8.93,347.8503,486.4683,192.7686680555262,27.815090213260564,0.41863487832,0.36233285987,0.41863487832,0.36233285987,0.656,0.592,-22.96,0.6564654,0.5916257,-22.96,47.5647,0.0,2.38,1.305,0.234,1.0,0.0,29,29,0_30,0_29,1035.291,38.63292,18.7662,0.0405,191.63,27.0,31.0,348.0,487.0,347.9814,486.4523,347.9814,486.4523,192.7686262162344,27.81509373654905,1.481,1.313,-13.31,0.06428,0.0573,-16.74,347.9814,486.4523,192.7686262162344,27.81509373654905,1.6141319945,1.4093428344,1.6141319945,1.4093428344,1.272,1.185,-8.1,1.272149,1.185374,-8.1,23.3227,0.0,4.51,1.128,0.114,0.06,0.0,0.13207274510663264
5,5,0_6,0_148,1130.237,13.61193,18.6709,0.0131,-3.258241E-5,8.0,8.0,38.0,484.0,37.7413,484.0277,37.7413,484.0277,192.8672944402614,27.81805186592367,0.451,0.39,-27.33,0.00544,0.0047,-27.33,37.7413,484.0277,192.8672944402614,27.81805186592367,0.10768666445,0.09596925665,0.10768666445,0.09596925665,0.328,0.31,-0.79,0.3281599,0.3097854,-0.79,54.7905,0.0,0.92,1.157,0.136,1.0,0.0,3,3,0_4,0_28,1001.86,33.41445,18.8018,0.0362,191.8336,20.0,22.0,38.0,484.0,37.6975,484.0366,37.6975,484.0366,192.8673084471365,27.818049680506125,1.211,1.084,-38.69,0.05089,0.04377,-35.94,37.6975,484.0366,192.8673084471365,27.818049680506125,0.80722032727,0.79151808067,0.80722032727,0.79151808067,0.912,0.876,-37.81,0.9115779,0.8762215,-37.81,23.313,0.0,3.08,1.117,0.105,0.914,0.0,0.044695078028806484
6,6,0_7,0_147,777.5142,11.28988,19.0771,0.0158,-3.363348E-9,27.0,27.0,433.0,478.0,432.9873,478.2804,432.9873,478.2804,192.74151585283016,27.81675648872675,0.97,0.834,38.0,0.01408,0.01212,38.0,432.9873,478.2804,192.74151585283016,27.81675648872675,0.50228701407,0.49878195185,0.50228701407,0.49878195185,0.755,0.657,44.27,0.7547387,0.6568398,44.27,99.0,0.0,3.23,1.163,0.14,1.0,0.0,5,5,0_6,0_27,654.039,32.27585,19.2649,0.0536,191.7719,22.0,22.0,433.0,478.0,433.0179,478.2981,433.0179,478.2981,192.74150627132863,27.81675128282955,1.305,1.153,50.85,0.07577,0.06502,54.02,433.0179,478.2981,192.74150627132863,27.81675128282955,1.6556999285,1.5272576577,1.6556999285,1.5272576577,1.295,1.227,20.95,1.295285,1.226863,20.95,23.3341,0.0,4.8,1.132,0.117,0.048,0.0,0.03535038896531721
11,11,0_12,0_142,1418.235,15.24787,18.4245,0.0117,-1.867731E-8,6.0,6.0,381.0,462.0,380.9655,461.5228,380.9655,461.5228,192.75792050875512,27.8218571298275,0.523,0.499,-4.09,0.00563,0.00537,-4.09,380.9655,461.5228,192.75792050875512,27.8218571298275,0.091663149664,0.24831440614,0.091663149664,0.24831440614,0.498,0.303,-89.69,0.498316,0.3027518,-89.69,40.6663,0.0,1.15,1.048,0.046,1.0,0.0,6,6,0_7,0_26,1304.686,38.13474,18.5151,0.0317,190.8496,25.0,29.0,381.0,462.0,381.0456,461.5294,381.0456,461.5294,192.7578950841857,27.82185467642163,1.34,1.218,-5.83,0.04825,0.04524,-10.49,381.0456,461.5294,192.7578950841857,27.82185467642163,1.0013344804,0.83199198834,1.0013344804,0.83199198834,1.001,0.912,-1.56,1.00073,0.9120673,-1.56,23.2668,0.0,3.35,1.101,0.092,0.805,0.0,0.08037145015484863
15,15,0_16,0_138,377.1195,7.862752,19.8627,0.0226,-9.116819E-8,6.0,6.0,404.0,431.0,403.5992,430.6518,403.5992,430.6518,192.75045535553653,27.830367543851445,0.509,0.458,-36.46,0.0106,0.00956,-36.46,403.5992,430.6518,192.75045535553653,27.830367543851445,0.21684913058,0.17731921604,0.21684913058,0.17731921604,0.472,0.414,-19.51,0.471721,0.4143038,-19.51,40.8043,0.0,1.05,1.109,0.099,1.0,0.0,7,7,0_8,0_25,285.3053,21.78305,20.1656,0.0829,190.3022,8.0,10.0,403.0,431.0,403.5272,430.7658,403.5272,430.7658,192.7504792402588,27.83033603108866,0.952,0.72,-2.65,0.09485,0.0695,-0.28,403.5272,430.7658,192.7504792402588,27.83033603108866,0.83391910296,0.73611333008,0.83391910296,0.73611333008,0.917,0.854,-14.66,0.9171193,0.8537708,-14.66,23.2307,0.0,3.1,1.323,0.244,0.511,0.0,0.13483323032549452
20,20,0_21,0_133,8077.222,36.38866,16.5357,0.0049,0.0,6.0,6.0,183.0,415.0,182.85,415.0506,182.85,415.0506,192.820554427863,27.83638877050817,0.357,0.269,-2.58,0.00161,0.00121,-2.58,182.85,415.0506,192.820554427863,27.83638877050817,0.093917518883,0.088086113596,0.093917518883,0.088086113596,0.306,0.297,-0.05,0.3064597,0.296793,-0.05,99.0,0.0,1.73,1.329,0.248,1.0,0.0,8,8,0_9,0_24,7883.537,61.40064,16.5621,0.0085,191.0968,53.0,59.0,183.0,415.0,182.8978,415.1435,182.8978,415.1435,192.8205400008034,27.83636230022154,1.573,1.454,3.0,0.0166,0.01482,7.43,182.8978,415.1435,192.8205400008034,27.83636230022154,0.93398159747,0.85240190156,0.93398159747,0.85240190156,0.967,0.923,-4.96,0.9667478,0.9229205,-4.96,23.3078,0.0,3.0,1.082,0.076,0.982,0.0,0.10447607381600583
25,25,0_26,0_128,41009.65,81.99326,14.7717,0.0022,-8.282748E-7,1047.0,1047.0,482.0,388.0,481.4984,388.0036,481.4984,388.0036,192.7253039524149,27.841773141920644,5.614,5.283,-38.17,0.01122,0.01056,-38.17,481.4984,388.0036,192.7253039524149,27.841773141920644,3.9505791672,4.0106584007,3.9505791672,4.0106584007,2.005,1.985,-70.66,2.004768,1.985483,-70.66,38.7393,16.0,2.57,1.063,0.059,0.995,0.0,10,10,0_11,0_22,38963.63,186.0377,14.8272,0.0052,192.5885,469.0,517.0,482.0,388.0,481.5656,387.8917,481.5656,387.8917,192.72528160386443,27.841804095335853,4.519,4.324,-57.75,0.02736,0.02566,-56.76,481.5656,387.8917,192.72528160386443,27.841804095335853,5.7569987461,5.7167728285,5.7569987461,5.7167728285,2.401,2.39,-20.72,2.400774,2.389572,-20.72,23.195,0.0,5.61,1.045,0.043,0.028,0.0,0.1305275832918083
28,28,0_29,0_125,241114.0,198.8137,12.8483,9.0E-4,5.149169E-4,6.0,6.0,373.0,403.0,373.2565,402.8539,373.2565,402.8539,192.7598706175427,27.83840959150695,0.497,0.45,20.7,4.1E-4,3.7E-4,20.7,373.2565,402.8539,192.7598706175427,27.83840959150695,0.18011078945,0.14489251281,0.18011078945,0.14489251281,0.425,0.38,4.3,0.4246305,0.3803844,4.3,99.0,4.0,0.0,1.104,0.094,1.0,0.0,9,9,0_10,0_23,246713.3,221.3463,12.8234,0.001,191.7489,187.0,201.0,373.0,403.0,373.3173,402.9168,373.3173,402.9168,192.75985181170307,27.83839145364105,1.775,1.708,0.26,0.0021,0.00204,30.93,373.3173,402.9168,192.75985181170307,27.83839145364105,1.0008312433,0.89705803247,1.0008312433,0.89705803247,1.002,0.946,-9.06,1.001768,0.9457006,-9.06,23.3287,0.0,3.05,1.039,0.038,0.994,0.0,0.08748171237463441
33,33,0_34,0_120,481.0576,8.880423,19.5984,0.02,0.0,22.0,22.0,38.0,397.0,38.1007,397.0259,38.1007,397.0259,192.8664589513789,27.84251153109994,1.373,0.608,-18.25,0.02534,0.01122,-18.25,38.1007,397.0259,192.8664589513789,27.84251153109994,0.63896232643,0.34596448877,0.63896232643,0.34596448877,0.826,0.55,-19.85,0.8263515,0.549609,-19.85,52.2461,0.0,3.99,2.258,0.557,1.0,0.0,11,11,0_12,0_21,292.4477,24.54896,20.1387,0.0912,191.5231,9.0,13.0,38.0,397.0,38.0102,397.125,38.0102,397.125,192.8664885680604,27.842484323189662,1.23,0.761,-0.94,0.11574,0.0687,-0.07,38.0102,397.125,192.8664885680604,27.842484323189662,1.913450453,1.4698332684,1.913450453,1.4698332684,1.398,1.195,-16.43,1.398467,1.194811,-16.43,23.3108,0.0,4.29,1.616,0.381,0.495,0.0,0.1342052905067653
54,54,0_55,0_100,533.7421,9.354074,19.4855,0.019,0.001311696,6.0,6.0,486.0,356.0,485.844,356.1405,485.844,356.1405,192.72364567216988,27.85069835821537,0.672,0.472,-49.29,0.01177,0.00827,-49.29,485.844,356.1405,192.72364567216988,27.85069835821537,0.13848691589,0.15375281171,0.13848691589,0.15375281171,0.415,0.346,-53.43,0.4152401,0.3461436,-53.43,99.0,0.0,1.49,1.423,0.297,1.0,0.0,12,12,0_13,0_20,359.3793,25.55612,19.915,0.0772,193.6398,11.0,11.0,486.0,356.0,485.8002,356.169,485.8002,356.169,192.72365985559145,27.85069067604968,0.954,0.827,-38.06,0.078,0.06708,-39.1,485.8002,356.169,192.72365985559145,27.85069067604968,0.89861526807,0.84576779529,0.89861526807,0.84576779529,0.972,0.894,-34.37,0.9721299,0.8940619,-34.37,23.2321,0.0,5.04,1.154,0.133,0.29,0.0,0.05225600443966579
