col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
125,125,0_126,0_109,336.9221,27.43152,19.9855,0.0884,454.2729,7.0,8.0,1.0,259.0,1.1744,258.8655,1.1744,258.8655,261.21540875833443,27.03300148353215,0.812,0.65,47.22,0.09069,0.07183,44.88,1.1744,258.8655,261.21540875833443,27.03300148353215,0.3315712708,0.38500144979,0.3315712708,0.38500144979,0.646,0.547,58.47,0.6459591,0.5470918,58.47,22.9088,24.0,2.11,1.249,0.199,0.165,0.0
379,379,1_146,1_114,2202.037,58.66583,17.9473,0.0289,455.9716,29.0,35.0,552.0,247.0,551.586,246.8675,551.586,246.8675,261.04156765105654,27.033697397588096,1.675,1.147,22.69,0.0561,0.03672,23.4,551.586,246.8675,261.04156765105654,27.033697397588096,1.1352652874,0.90601138929,1.1352652874,0.90601138929,1.09,0.924,23.29,1.089669,0.9240661,23.29,22.9037,3.0,3.71,1.461,0.315,0.02,1.0
380,380,1_147,1_114,3831.768,70.27592,17.3458,0.0199,455.98,41.0,49.0,548.0,239.0,548.3613,239.3487,548.3613,239.3487,261.0425435337219,27.035828002436897,1.876,1.3,51.92,0.04371,0.03,53.73,548.3613,239.3487,261.0425435337219,27.035828002436897,1.0560295813,1.1245712017,1.0560295813,1.1245712017,1.137,0.942,49.88,1.136847,0.9424325,49.88,22.9052,3.0,3.08,1.442,0.307,0.023,1.0
501,501,2_6,2_1,269.4041,23.99602,20.2283,0.0967,457.2933,6.0,6.0,1084.0,0.0,1083.9487,0.4762999999999999,1083.9487,0.4762999999999999,260.8720000673632,27.100187548176745,0.788,0.499,2.51,0.1007,0.06173,0.28,1083.9487,0.4762999999999999,260.8720000673632,27.100187548176745,0.54250164048,0.25153251804,0.54250164048,0.25153251804,0.739,0.498,6.48,0.7391218,0.497728,6.48,22.8997,24.0,2.4,1.58,0.367,0.42,2.0
827,827,3_110,3_82,1775.341,51.97984,18.1811,0.0318,459.4269,21.0,27.0,1644.0,207.0,1644.9807,206.222,1644.9807,206.222,260.69607618544416,27.039187017812488,1.706,0.969,-63.31,0.05911,0.03546,-66.37,1644.9807,206.222,260.69607618544416,27.039187017812488,0.98181963644,1.5898809046,0.98181963644,1.5898809046,1.365,0.842,-60.89,1.364922,0.8418364,-60.89,22.8843,0.0,5.59,1.76,0.432,0.013,3.0
852,852,3_135,3_56,962.711,44.38113,18.8456,0.0501,459.4017,16.0,20.0,1506.0,149.0,1507.1319,148.8625,1507.1319,148.8625,260.7392437608193,27.05610911933482,1.15,1.003,-77.27,0.07279,0.06127,-80.26,1507.1319,148.8625,260.7392437608193,27.05610911933482,0.87095001572,0.97586251411,0.87095001572,0.97586251411,1.002,0.918,-65.51,1.001658,0.9184194,-65.51,22.8877,24.0,4.2,1.146,0.127,0.01,3.0
1028,1028,4_122,4_81,3686.015,63.5174,17.3879,0.0187,461.9883,32.0,38.0,2398.0,220.0,2399.1739,221.3316,2399.1739,221.3316,260.4579815991109,27.030366057654803,2.261,1.004,26.93,0.04543,0.02163,23.61,2399.1739,221.3316,260.4579815991109,27.030366057654803,2.1975402931,1.1329831393,2.1975402931,1.1329831393,1.613,0.854,27.65,1.61257,0.8544835,27.65,22.8794,0.0,6.4,2.251,0.556,0.026,4.0
1730,1730,7_190,7_14,8501.263,87.8742,16.4806,0.0112,455.747,60.0,74.0,16.0,550.0,14.1771,551.4961,14.1771,551.4961,261.21281428904894,26.95065008310172,2.829,1.291,-48.22,0.03469,0.01823,-49.36,14.1771,551.4961,261.21281428904894,26.95065008310172,1.4191242871,1.6231879917,1.4191242871,1.6231879917,1.434,0.993,-50.5,1.433972,0.9929943,-50.5,22.9193,16.0,5.67,2.191,0.544,0.035,7.0
1753,1753,8_11,8_240,49091.61,200.7233,14.5768,0.0044,459.3093,279.0,338.0,989.0,1009.0,994.0718,994.5984,994.0718,994.5984,260.9063188161324,26.82111702426701,23.715,1.176,-71.45,0.11916,0.0056,-71.55,994.0718,994.5984,260.9063188161324,26.82111702426701,58.181414297,505.59937996,58.181414297,505.59937996,23.715,1.176,-71.45,23.71492,1.176238,-71.45,22.9024,24.0,17.41,20.162,0.95,0.911,8.0
1972,1972,9_1,9_239,43992.82,252.7485,14.6959,0.0062,458.9966,491.0,593.0,1017.0,924.0,1028.9742,885.5623,1028.9742,885.5623,260.8946710117754,26.85159243372699,50.3,0.841,-72.75,0.30893,0.00602,-72.8,1028.9742,885.5623,260.8946710117754,26.85159243372699,208.84267749,932.71272687,208.84267749,932.71272687,32.12,10.481,-70.87,32.12005,10.48132,-70.87,22.8796,27.0,39.05,59.777,0.983,0.0,9.0
